PID,Context,"Lilien, Ephraim Mose",Verfasser*in GND,Körperschaft Verfasser*in,Körperschaft Verfasser*in GND,Adressat*in,Adressat*in GND,Körperschaft Adressat*in,Körperschaft Adressat*in GND,Art/Umfang,Physical Description,Beilagen,Enclosures,Datierung Original,Date original,Datierung erschlossen,Date supplied/verified,Datierung normalisiert,Poststempel,Entstehungsort Original,Entstehungsort erschlossen,Postanschrift (original),Sprache,Beschreibstoff,Writing Material,Schreibstoff,Writing Instrument,Schreiberhand,Maße,Standort GND,Signatur,Provenienz,Erwerbung,Acquired,Beteiligte,Beteiligte (GND),Hinweis,Note(s),Postanschrift normalisiert,Anmerkungen
,,"Schenk, Gustav",http://d-nb.info/gnd/122783891,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1927-11-07,7 11 27,,,,GER,"Ansichtspostkarte: ""Blida – L'Eglise et la Montagne"" ","Picture postcard: ""Blida – L'Eglise et la Montagne"" ",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.174,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Absender hat seine Adresse angegeben; eine Briefmarke fehlt.
,,"Schickele, René",http://d-nb.info/gnd/11860743X,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1920-11-18,18 11 20,,,,FRE,"Ansichtspostkarte: ""Paris – La Place Vendôme et la Colonne.""","Picture postcard: ""Paris – La Place Vendôme et la Colonne.""",schwarze Tinte und Bleistift,black ink and pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.175,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Colin, Paul; Bazalgette, Léon",http://d-nb.info/gnd/128492600; http://d-nb.info/gnd/132731568,,,"Salzburg, Kapuzinerberg 5",Weitere Grußworte und Unterschriften von Paul Colin und Léon Bazalgette. ABER WELCHER Paul Colin IN DER GND???
,,"Schleicher, Berta",http://d-nb.info/gnd/117322695,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1929-09-10,10 9 29,,,,GER,"Ansichtspostkarte: ""Meersburg a. B. Altes Schloß""","Picture postcard: ""Meersburg a. B. Altes Schloß""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.176,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Schleicher, Berta",http://d-nb.info/gnd/117322695,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,Pfingsten 1930,Pfingsten 1930,,,1930-06-08,,,,,GER,"Ansichtspostkarte: ""Ottobeuren, Klosterkirche""","Picture postcard: ""Ottobeuren, Klosterkirche""",Bleistift und schwarze Tinte,pencil and black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.177,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Schweitzer, Albert; Martin, Emmy",http://d-nb.info/gnd/11861214X; http://d-nb.info/gnd/11680341X,,,,"Grußworte und Unterschriften von Albert Schweitzer und Emmy Martin; vermutlich wurde die Karte nicht abgeschickt, sondern direkt eingeworfen, da Poststempel und Adresse fehlen."
,,"Schmidt-Berna, Fritz",http://d-nb.info/gnd/126787611,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,26. 7. 1930,26. 7. 1930,,,1930-07-26,,,,,GER,"Ansichtspostkarte: ""'Palla Bianca' 3746m""","Picture postcard: ""'Palla Bianca' 3746m""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.178,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Rechts oben bei der Briefmarke sind Tintenflecke, ebenso links oben auf der Vorderseite."
,,"Scholz, Wilhelm von",http://d-nb.info/gnd/118610392,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,5. V. 1904,5. V. 1904,,,1904-05-05,,,,,GER,"Ansichtspostkarte: ""Weimar | Grosse Eiche am Schiesshausholz""","Picture postcard: ""Weimar | Grosse Eiche am Schiesshausholz""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.179,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Rathausstraße 17",Text auf Vorderseite.
,,"Schütz, Willy",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1931-08-25,25. 8. 31,,,,GER,"Ansichtspostkarte: ""Bamberg | Portal der alten Residenz""","Picture postcard: ""Bamberg | Portal der alten Residenz""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.180,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Schwarz, Heinrich",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,, 4. 7. 1929., 4. 7. 1929.,,,1929-07-04,,,,,GER,"Ansichtspostkarte: ""Scott Monument, Edinburgh.""","Picture postcard: ""Scott Monument, Edinburgh.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.181,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Schwarz, Heinrich",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,24. 4. 1931.,24. 4. 1931.,,,1931-04-24,,,,,GER,"Ansichtspostkarte: ""Capri – Panorama dal Monte Solaro""","Picture postcard: ""Capri – Panorama dal Monte Solaro""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.182,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Schwarz, Heinrich",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,4. 5. 1932.,4. 5. 1932.,,,1932-05-04,,,,,GER,"Ansichtspostkarte: ""Dubrovnik – Rijeka""","Picture postcard: ""Dubrovnik – Rijeka""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.183,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Seelig, Carl",http://d-nb.info/gnd/118612670,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,3. Sept. 1931.,3. Sept. 1931.,,,1931-09-03,,,,,GER,"Ansichtspostkarte: ""Constantinople. Bosphore (Tours de Roumeli-Hissar)""","Picture postcard: ""Constantinople. Bosphore (Tours de Roumeli-Hissar)""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.184,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Selden-Goth, Gisella",http://d-nb.info/gnd/117473693,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,7. II. 34,7. II. 34,,,1934-02-07,,,,,GER,"Ansichtspostkarte: ""Monaco. – Le Port d'Hercule et Monte-Carlo.""","Picture postcard: ""Monaco. – Le Port d'Hercule et Monte-Carlo.""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.185,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Goth, Trudy",http://d-nb.info/gnd/116788291,,,"Salzburg, Kapuzinerberg 5","Karte schon sehr ausgeblichen, erstes Grußwort und Unterschrift von Trudy Goth."
,,"Sergel, Albert",http://d-nb.info/gnd/117466689,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1905-11-03,3. 11. 05,,,,GER,"Ansichtspostkarte: ""Hildesheim, 1000 Jähr. Rosenstock.""","Picture postcard: ""Hildesheim, 1000 Jähr. Rosenstock.""",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.186,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Havenau, Hedwig",http://d-nb.info/gnd/128317817,,,"Wien, Rathausstraße 17","Weiterer Absender: Hedwig Havenrau (Lesung unsicher, nicht identifiziert)."
,,"Sochaczewer, Hans",http://d-nb.info/gnd/118821547,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,23. 4. 28.,23. 4. 28.,,,1928-04-23,,,,,GER,"Ansichtspostkarte: ""København. Buegangen ved Christiansborg Slot.""","Picture postcard: ""København. Buegangen ved Christiansborg Slot.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.187,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Sochaczewer, Hans",http://d-nb.info/gnd/118821547,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,26. 5. 28.,26. 5. 28.,,,1928-05-26,,,,,GER,"Ansichtspostkarte: ""København. Christianshavn's Vold.""","Picture postcard: ""København. Christianshavn's Vold.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.188,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,Steigerwald,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,7. 6. 30,7. 6. 30,,,1930-06-07,,,,,GER,"Ansichtspostkarte: ""Oberammergau vom Bärenbad""","Picture postcard: ""Oberammergau vom Bärenbad""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.275,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,Vorname unleserlich,first name illegible,"Salzburg, Kapuzinerberg 5",Vorderseite: Oberammergau vom Bärenbad.
,,"Széll, Georg",http://d-nb.info/gnd/134535383,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,18. 8. 35.,18. 8. 35.,,,1935-08-18,,,,,GER,"Ansichtspostkarte: ""Karlsbad. Blick vom Hirschensprung.""","Picture postcard: ""Karlsbad. Blick vom Hirschensprung.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.189,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Marienbad, Villa Souvenir",Text mit Bleistiftstrich durchgestrichen; mit einem Strich durchgestrichener Kreis bei Text; teilweise Schrift etwas verwischt.
,,"Tibaldi Chiesa, Maria",http://d-nb.info/gnd/1031387838,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,9. V. 1934,9. V. 1934,,,1934-05-09,,,,,ITA,"Ansichtspostkarte: ""Milano – Arco della Pace""","Picture postcard: ""Milano – Arco della Pace""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.190,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Vermerk ""nachberechnet?""."
,,"Tocker, Sergej",http://d-nb.info/gnd/127587829,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,21/VII 1929.,21/VII 1929.,,,1929-07-21,,,,,GER,"Ansichtspostkarte: ""Blick vom Fenster""","Picture postcard: ""Blick vom Fenster""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.191,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Poststempel ist einen Tag später am 22.7.1929.
,,"Tocker, Sergej",http://d-nb.info/gnd/127587829,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,6. V. 30.,6. V. 30.,,,1930-05-06,,,,,GER,"Ansichtspostkarte: ""Lwow. Kościół O. O. Bernardynów.""","Picture postcard: ""Lwow. Kościół O. O. Bernardynów.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.192,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Poststempel ist einen Tag später am 7.5.1930.
,,"Tocker, Sergej",http://d-nb.info/gnd/127587829,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,28/IX 1919,28/IX 1919,,,1929-09-28,,,,,GER,"Ansichtspostkarte: ""Poznań. P. W. K. 1929. | Wesołe Miasteczko""","Picture postcard: ""Poznań. P. W. K. 1929. | Wesołe Miasteczko""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.263,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Vorderseite: POZNAN. P. W. K. 1929.
,,"Tomaselli, Lini (Karolina)",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,3. X. 27,3. X. 27,,,1927-10-03,,,,,GER,"Ansichtspostkarte: ""Gera-R. Theater.""","Picture postcard: ""Gera-R. Theater.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.193,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Tomaselli, Richard; Tomaselli, R.",http://d-nb.info/gnd/13178997X; ,,,"Salzburg, Kapuzinerberg 5",Zweites Grußwort und Unterschrift von Sissi (Elisabeth) Tomaselli. UND TOMASELLI R.
,,"Tomaselli, Richard",http://d-nb.info/gnd/13178997X,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,29. juin 1926,29. juin 1926,,,1926-06-29,,,,,GER,"Ansichtspostkarte: ""Paris. Panorama pris du Trocadéro sur la Tour Eiffel et la Seine""","Picture postcard: ""Paris. Panorama pris du Trocadéro sur la Tour Eiffel et la Seine""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.163,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"R., H.",,,,"Salzburg, Kapuzinerberg 5",Absender schreiben auf Vorderseite weiter; zweites Grußwort und Unterschrift von Richard Tomaselli.
,,"Tranquilli, Lucia",http://d-nb.info/gnd/127365494,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,Natale 1933,Natale 1933,,,1933-12-24,,,,,ITA,"Ansichtspostkarte: ""Trieste. Notturno – pressi di Miramare""","Picture postcard: ""Trieste. Notturno – pressi di Miramare""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.194,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Tranquilli, Vittorio",,,,"Salzburg, Kapuzinerberg 5","""bedankt"" oben am Rand vermerkt."
,,"Trebitsch, Siegfried",http://d-nb.info/gnd/118840150,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,1909,1909,,,1909,,,,,GER,"Ansichtspostkarte: ""Kastelruth (1075m) gegen die Geislerspitzen (3027 m). Tirol.""","Picture postcard: ""Kastelruth (1075m) gegen die Geislerspitzen (3027 m). Tirol.""",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.195,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Text mit Bleistift übermalt --> großteils unleserlich.
,,"Trebitsch, Tina",http://d-nb.info/gnd/1243790849,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,3. 3. 29,3. 3. 29,,,1929-03-03,,,,,GER,"Ansichtspostkarte: ""Menton. Vue sur Garavan""","Picture postcard: ""Menton. Vue sur Garavan""",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.196,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Text mit Bleistift durchgestrichen.
,,"Trinius, Bernhard",http://d-nb.info/gnd/117419079,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,23/V. 29.,23/V. 29.,,,1929-05-23,,,,,GER,"Ansichtspostkarte: ""Lago di Garda – Torbole visto dal Belvedere""","Picture postcard: ""Lago di Garda – Torbole visto dal Belvedere""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.197,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Tyndall, Paul Camill",http://d-nb.info/gnd/117439770,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,11. IV. 14.,11. IV. 14.,,,1914-04-11,,,,,GER,"Ansichtspostkarte: ""Dessau. Lustgartentor.""","Picture postcard: ""Dessau. Lustgartentor.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.230,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8","Beschriftung Bild Vorderseite: ""DESSAU. Lustgartentor""."
,,"Ungar, Hermann",https://d-nb.info/gnd/118763687,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,19. 12. 14,19. 12. 14,,,1914-12-19,,,,,GER,"Ansichtspostkarte: ""Bruges | Chapelle du St. Sang et l'Ancien Greffe.""","Picture postcard: ""Bruges | Chapelle du St. Sang et l'Ancien Greffe.""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.236,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Absender hat Karte gedreht zum Weiterschreiben; Bleistift teilweise etwas verwischt; Absender schreibt auf Vorderseite weiter.
,,"Ungar, Hermann",https://d-nb.info/gnd/118763687,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,14. Okt. 17.,14. Okt. 17.,,,1917-10-14,,,,,GER,"Ansichtspostkarte: ""Partenkirchen und Garmisch gegen Kramer""","Picture postcard: ""Partenkirchen und Garmisch gegen Kramer""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.290,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Vorderseite (handschriftlich): Partenkirchen
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,20/2 1921.,20/2 1921.,,,1921-02-20,,,,,FRE,"Ansichtspostkarte: ""Lisbôa. Claustro dos Jeronymos.""","Picture postcard: ""Lisbôa. Claustro dos Jeronymos.""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.199,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Briefmarke fehlt, Beschriftung Bild Vorderseite: ""LISBOA. Claustro dos Jeronymos""."
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,1906,1906,1906,,,,,ENG,"Ansichtspostkarte: ""Trumau""","Picture postcard: ""Trumau""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.116,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,gezeichnet „Emmy“,signed “Emmy”,"London, 84 Kensington Gardens Square","Datum auf Poststempel unleserlich. Martin, Emmy (unsicher) NEIN!"
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Typoskript, 1 Blatt","1 picture postcard, typescript, 1 leaf",,,26. 8. 1924.,26. 8. 1924.,,,1924-08-26,,,,,GER,"Ansichtspostkarte: ""Meridianstötten ved Hammerfest.""","Picture postcard: ""Meridianstötten ved Hammerfest.""",schwarzes Farbband,black ribbon,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.201,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Beschriftung Bild Vorderseite: ""Meridianstötten ved Hammerfest""."
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1933-01-21,21 JA 1933,,,,GER," Ansichtspostkarte: ""Snake Temple Sungei Kluang Penang.""","Picture postcard: ""Snake Temple Sungei Kluang Penang.""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.202,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Beschriftung Bild Vorderseite: ""SHAKE TEMPLE SUNGEI KLUANG PENANG""."
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1926-08-27,AUG 27 1926,,,,GER,"Ansichtspostkarte: ""City Hall, Toronto, Canada.""","Picture postcard: ""City Hall, Toronto, Canada.""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.206,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Beschriftung Bild Vorderseite: ""City Hall, Toronto, Canada""."
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1928-06-02,2. VI 1928,,,,FRE,"Ansichtspostkarte: ""Notre-Dame de Paris – Vue générale""","Picture postcard: ""Notre-Dame de Paris – Vue générale""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.208,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Beschriftung Bild Vorderseite: ""Paris. Notre-Dame de Paris. Vue générale""."
